
--- SHEET: PRICE LIST ---
   Unnamed: 0   Unnamed: 1 Unnamed: 2 Unnamed: 3 Unnamed: 4 Unnamed: 5 Unnamed: 6 Unnamed: 7 Unnamed: 8  Unnamed: 9  Unnamed: 10 Unnamed: 11  Unnamed: 12 Unnamed: 13 Unnamed: 14 Unnamed: 15 Unnamed: 16 Unnamed: 17 Unnamed: 18 Unnamed: 19
0       SHAPE        ROUND        NaN        NaN        NaN        NaN        NaN        NaN        NaN         NaN          NaN       SHAPE        FANCY         NaN         NaN         NaN         NaN         NaN         NaN         NaN
1         NaN          NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN         NaN          NaN         NaN          NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN
2         NaN  0.002-0.004        NaN        NaN        NaN        NaN        NaN        NaN        NaN         NaN          NaN         NaN  0.002-0.004         NaN         NaN         NaN         NaN         NaN         NaN         NaN
3         NaN         VVS1       VVS2        VS1        VS2        SI1        SI2         I1         I2         NaN          NaN  Row Labels         VVS1        VVS2         VS1         VS2         SI1         SI2          I1          I2
4         DEF         1349       1349       1078       1078        928        729        530        331         NaN          NaN         DEF       1079.2      1079.2       862.4       862.4       742.4       583.2         424       264.8
5           G         1349       1349        928        928        928        619        464        356         NaN          NaN           G       1079.2      1079.2       742.4       742.4       742.4       495.2       371.2       284.8
6           H          928        928        928        928        928        557        418        320         NaN          NaN           H        742.4       742.4       742.4       742.4       742.4       445.6       334.4         256
7           I          835        835        835        835        835        501        276        288         NaN          NaN           I          668         668         668         668         668       400.8       220.8       230.4
8           J          835        835        835        835        835        501        276        288         NaN          NaN           J          668         668         668         668         668       400.8       220.8       230.4
9           K          752        752        752        752        752        451        338        259         NaN          NaN           K        601.6       601.6       601.6       601.6       601.6       360.8       270.4       207.2
10          L          676        676        676        676        676        406        304        233         NaN          NaN           L        540.8       540.8       540.8       540.8       540.8       324.8       243.2       186.4
11          M          676        676        676        676        676        406        304        233         NaN          NaN           M        540.8       540.8       540.8       540.8       540.8       324.8       243.2       186.4
12       CAPE          609        609        609        609        609        365        284        210         NaN          NaN        CAPE        487.2       487.2       487.2       487.2       487.2         292       227.2         168
13        NaN  0.005-0.008        NaN        NaN        NaN        NaN        NaN        NaN        NaN         NaN          NaN         NaN  0.005-0.008         NaN         NaN         NaN         NaN         NaN         NaN         NaN
14        DEF         1034       1034        847        847        764        600        437        273         NaN          NaN         DEF        827.2       827.2       677.6       677.6       611.2         480       349.6       218.4
15          G         1034       1034        764        764        764        509        382        293         NaN          NaN           G        827.2       827.2       611.2       611.2       611.2       407.2       305.6       234.4
16          H          764        764        764        764        764        611        458        250         NaN          NaN           H        611.2       611.2       611.2       611.2       611.2       488.8       366.4         200
17          I          688        688        737        619        545        413        295        184         NaN          NaN           I        550.4       550.4       589.6       495.2         436       330.4         236       147.2
18          J          688        688        737        619        545        413        295        184         NaN          NaN           J        550.4       550.4       589.6       495.2         436       330.4         236       147.2
19          K          619        619        516        442        368        295        221        150         NaN          NaN           K        495.2       495.2       412.8       353.6       294.4         236       176.8         120
20          L          295        295        265        250        221        192        150        150         NaN          NaN           L          236         236         212         200       176.8       153.6         120         120
21          M          295        295        265        250        221        192        150        150         NaN          NaN           M          236         236         212         200       176.8       153.6         120         120
22       CAPE          221        221        206        192        177        162        150        150         NaN          NaN        CAPE        176.8       176.8       164.8       153.6       141.6       129.6         120         120
23        NaN  0.009-0.021        NaN        NaN        NaN        NaN        NaN        NaN        NaN         NaN          NaN         NaN  0.009-0.021         NaN         NaN         NaN         NaN         NaN         NaN         NaN
24        DEF          842        842        708        708        594        467        339        250         NaN          NaN         DEF        673.6       673.6       566.4       566.4       475.2       373.6       271.2         200
25          G          842        842        594        594        594        396        297        250         NaN          NaN           G        673.6       673.6       475.2       475.2       475.2       316.8       237.6         200
26          H          594        594        594        594        594        475        356        250         NaN          NaN           H        475.2       475.2       475.2       475.2       475.2         380       284.8         200
27          I          534        534        574        482        424        321        229        150         NaN          NaN           I        427.2       427.2       459.2       385.6       339.2       256.8       183.2         120
28          J          534        534        574        482        424        321        229        150         NaN          NaN           J        427.2       427.2       459.2       385.6       339.2       256.8       183.2         120
29          K          481        481        402        344        287        229        172        150         NaN          NaN           K        384.8       384.8       321.6       275.2       229.6       183.2       137.6         120
30          L          229        229        207        195        172        150        150        150         NaN          NaN           L        183.2       183.2       165.6         156       137.6         120         120         120
31          M          229        229        207        195        172        150        150        150         NaN          NaN           M        183.2       183.2       165.6         156       137.6         120         120         120
32       CAPE          172        172        161        150        150        150        150        150         NaN          NaN        CAPE        137.6       137.6       128.8         120         120         120         120         120
33        NaN  0.022-0.051        NaN        NaN        NaN        NaN        NaN        NaN        NaN         NaN          NaN         NaN  0.022-0.051         NaN         NaN         NaN         NaN         NaN         NaN         NaN
34        DEF          834        834        707        707        576        452        329        250         NaN          NaN         DEF        667.2       667.2       565.6       565.6       460.8       361.6       263.2         200
35          G          834        834        576        576        576        384        288        250         NaN          NaN           G        667.2       667.2       460.8       460.8       460.8       307.2       230.4         200
36          H          576        576        576        576        576        461        346        250         NaN          NaN           H        460.8       460.8       460.8       460.8       460.8       368.8       276.8         200
37          I          518        518        556        467        411        311        222        150         NaN          NaN           I        414.4       414.4       444.8       373.6       328.8       248.8       177.6         120
38          J          518        518        556        467        411        311        222        150         NaN          NaN           J        414.4       414.4       444.8       373.6       328.8       248.8       177.6         120
39          K          466        466        389        333        278        222        167        150         NaN          NaN           K        372.8       372.8       311.2       266.4       222.4       177.6       133.6         120
40          L          222        222        200        189        167        150        150        150         NaN          NaN           L        177.6       177.6         160       151.2       133.6         120         120         120
41          M          222        222        200        189        167        150        150        150         NaN          NaN           M        177.6       177.6         160       151.2       133.6         120         120         120
42       CAPE          167        167        156        150        150        150        150        150         NaN          NaN        CAPE        133.6       133.6       124.8         120         120         120         120         120
43        NaN  0.052-0.077        NaN        NaN        NaN        NaN        NaN        NaN        NaN         NaN          NaN         NaN  0.052-0.077         NaN         NaN         NaN         NaN         NaN         NaN         NaN
44        DEF          829        829        730        730        590        464        337        250         NaN          NaN         DEF        663.2       663.2         584         584         472       371.2       269.6         200
45          G          829        829        590        590        590        394        295        250         NaN          NaN           G        663.2       663.2         472         472         472       315.2         236         200
46          H          590        590        590        590        590        472        354        250         NaN          NaN           H          472         472         472         472         472       377.6       283.2         200
47          I          531        531        569        478        421        318        227        150         NaN          NaN           I        424.8       424.8       455.2       382.4       336.8       254.4       181.6         120
48          J          531        531        569        478        421        318        227        150         NaN          NaN           J        424.8       424.8       455.2       382.4       336.8       254.4       181.6         120
49          K          478        478        398        341        284        227        171        150         NaN          NaN           K        382.4       382.4       318.4       272.8       227.2       181.6       136.8         120
50          L          227        227        205        193        171        150        150        150         NaN          NaN           L        181.6       181.6         164       154.4       136.8         120         120         120
51          M          227        227        205        193        171        150        150        150         NaN          NaN           M        181.6       181.6         164       154.4       136.8         120         120         120
52       CAPE          171        171        159        150        150        150        150        150         NaN          NaN        CAPE        136.8       136.8       127.2         120         120         120         120         120
53        NaN  0.078-0.115        NaN        NaN        NaN        NaN        NaN        NaN        NaN         NaN          NaN         NaN  0.078-0.115         NaN         NaN         NaN         NaN         NaN         NaN         NaN
54        DEF          948        948        855        855        699        549        399        250         NaN          NaN         DEF        758.4       758.4         684         684       559.2       439.2       319.2         200
55          G          948        948        699        699        699        466        350        268         NaN          NaN           G        758.4       758.4       559.2       559.2       559.2       372.8         280       214.4
56          H          699        699        699        699        699        559        419        250         NaN          NaN           H        559.2       559.2       559.2       559.2       559.2       447.2       335.2         200
57          I          629        629        674        566        499        377        270        168         NaN          NaN           I        503.2       503.2       539.2       452.8       399.2       301.6         216       134.4
58          J          629        629        674        566        499        377        270        168         NaN          NaN           J        503.2       503.2       539.2       452.8       399.2       301.6         216       134.4
59          K          566        566        472        404        337        270        202        150         NaN          NaN           K        452.8       452.8       377.6       323.2       269.6         216       161.6         120
60          L          270        270        243        229        202        175        150        150         NaN          NaN           L          216         216       194.4       183.2       161.6         140         120         120
61          M          270        270        243        229        202        175        150        150         NaN          NaN           M          216         216       194.4       183.2       161.6         140         120         120
62       CAPE          202        202        189        175        162        150        150        150         NaN          NaN        CAPE        161.6       161.6       151.2         140       129.6         120         120         120
63        NaN  0.116-0.158        NaN        NaN        NaN        NaN        NaN        NaN        NaN         NaN          NaN         NaN  0.116-0.158         NaN         NaN         NaN         NaN         NaN         NaN         NaN
64        DEF         1068       1068        963        963        792        623        453        283         NaN          NaN         DEF        854.4       854.4       770.4       770.4       633.6       498.4       362.4       226.4
65          G         1068       1068        792        792        792        528        396        304         NaN          NaN           G        854.4       854.4       633.6       633.6       633.6       422.4       316.8       243.2
